"","text","emotion","polarity"
"787","news from generations areaagency on aging and disabilitywashington times herald","unknown","positive"
"788","that has been debunked the disability of that reporter is a lack of movement not the arm waving the still pic shows","joy","negative"
"789","new moto vote snp  jalc just another lying c","unknown","neutral"
"790","national disability voter registration week promotes election access","unknown","negative"
"791","disability rights is politics sir feel free to unfollow","unknown","positive"
"792","how accessible design benefits everyoneux disability","unknown","positive"
"793","everyone has a disability invisible disabilities are often the most disabling our disabilities can empowerenable us shrmvls","unknown","positive"
"794","let yourself be vulnerableshow your invisible disabilityshrmvlsshrm hr","unknown","positive"
"795","today deputy minister of social development hendrietta bagopanezulu officially launched dundonald disability","unknown","positive"
"796","needdisability
 survival needs
 psychological needsdisabilities
 social needsdisabilities 

maximum score is","anger","positive"
"797","my thoughts on the narrative presented here which imo ignore rights and dignity","unknown","neutral"
"798","sensory garden opens at north tyneside disability forum

read more at","unknown","positive"
"799","ok put up a clip of the guy whose disability he mocked 
its a lie","unknown","negative"
"800","disability pension for armed forces reduced heartlesscoldpm","unknown","positive"
"801","a woman withyears of experience amp expertise lost to a man who degrades women mocks a reporters disability amp","unknown","neutral"
"802","thats cute you trust cnn","unknown","positive"
"803","the year where the future potus is mocking a reporter with disability and its disrespectful to express an opinion","unknown","negative"
"804","pls rt pls come support the austinbladessledhockeyteamfundraiser disability","unknown","positive"
"805","new college graduates are proving that having a disability should not be a limiting factor when pursuing higher","unknown","positive"
"806","how aboutapologize when thugapologizes for laughing ampmockingreporter wdisability","unknown","negative"
"807","rude is making fun of someones disability","unknown","negative"
"808","fancy a saturday evening read be sure to check out my latest blog post 
 disability sight","joy","positive"
"809","disabled characters can have plotlines about something besides their disability characters who werent disabled to start with shouldnt","unknown","negative"
"810","no he does that with everyone hoax","unknown","negative"
"811","yes he did explain it","unknown","positive"
"812","i would love my baby regardless what type of disability heshe was born with","joy","positive"
"813","boycotthamilton for what was said but trump can disrespect women muslims blacks mexicans sexual predator and person with a d","unknown","negative"
"814","there is a plan and a purpose a value to every life no matter what its location age gender or disability sharron an","unknown","positive"
"815","theres no help i have disability need plasticsurgery cosmeticsurgeryfreakits n","unknown","neutral"
"816","the inspirationaldelivering about disability awareness to our l sampc students","unknown","positive"
"817","bravo swa accommodated disability at gate to pre board families after a teach american how to do it","unknown","positive"
"818","is this for real coming from a man who mocked a reporter with disability","unknown","positive"
"819","the disability community has an opportunity to support adaptive sports","unknown","positive"
"820","socks are only a few dollars but i have ptsd so i only get a disability check i only have a few dollars","sadness","negative"
"821","well putting a character with a disability shouldnt be put into a show just because they arent as common","unknown","neutral"
"822","i am the kinga short film by step up pakistanunenable uneff cpasdpakistan disability hero","joy","positive"
"823","point taken its just to me on disability anything is a lot of moneylol","unknown","positive"
"824","mocking the reporter with a disabilitywas a false story that was being spread to discredit trumpdo your homework","unknown","negative"
"825","look what i got d review later on my youtube channel


lego legodimensions fantasticbeasts","unknown","positive"
"826","you shouldve signed up for disability insurance","unknown","positive"
"827","fucking assholes lump disability into one single category but dysarthria and aphasia are a hell of a lot different than other deficits","unknown","negative"
"828","this is wonderful and also there is more to disability than those who cannot stand","surprise","positive"
"829","boycotthamiltonyou mock disabled amp talk about apology trump mocks reporter with disability","unknown","negative"
"830","our disability coe had a great day in the regional fixture taking what weve learnt in practice into games and doing ver","joy","positive"
"831","with the inclusion of intersectionsclass disability gender indigenous race sexuality","unknown","positive"
"832","cooper vs disability becomes space for commentators to indulge their bias anxieties asa","unknown","negative"
"833","my safetypin shows i will protect those who feel in danger bc of gender sexuality race disability religion etc you ar","joy","neutral"
"834","venus has taken on disability amp keeps playing become a kind of proxy avenue for white disparagementasa","joy","positive"
"835","my post onminding my disabled daughter article by","unknown","negative"
"836","look up trump mocking ted cruz using the same exact hand motions had nothing todo with the mans disability","unknown","negative"
"837","dealing with disability claim when your only jobthe moment is not throwing up hello chemo thought youd be nice t","unknown","positive"
"838","he wasnt mocking a disability stop lying","unknown","negative"
"839","with the inclusion of intersectionsclass disability gender indigenous race sexualitythis could be good","joy","positive"
"840","the year where the future potus is mocking a reporter with disability and its disrespectful to express an opinion boycotthamilton","unknown","negative"
"841","meanwhile in wales kidz board memberis campaigning for better disability awareness training for transport s","unknown","positive"
"842","astounding honestymeanwhilecosies up to best mate of the guy who takes piss out of disability","anger","positive"
"843","beginning our afternoon session with a panel discussion how has your parish disability ministry impacted you","unknown","positive"
"844","my wife on long term disability wjpmorgan had her insurance taken away tha","unknown","negative"
"845","fr mcshane came to our disability awareness day event in front of mcginley we are here untilpm with cupcakes","unknown","positive"
"846","i did all this despite the fact that i have a learning disabilitydumbactor","anger","negative"
"847","were not making fun of your disability you seem perfectly capable of typing but consistently misspell the same word","unknown","neutral"
"848","the latest the alabama autism network dailyautism disability","unknown","positive"
"849","for the starwars fan we have an area rug avail for auction nonprofit fundraise disability ct ctnonprofit","unknown","positive"
"850","boycotthamilton for what was said but trump can disrespect women muslims blacks mexicans sexual predator and person with a disability sthu","unknown","negative"
"851","disabled toilets when does accessible not mean accessiblebbc news","unknown","negative"
"852","like i said about aprils mum only was done to please part of the disability community","joy","positive"
"853","right lets grab their ankles and see what happenssatire dwp foodbanks disabilityworkfare","unknown","positive"
"854","very cool documentary i stumbled upon today","unknown","positive"
"855","for all those saying boycotthamilton why dont you getto apologize for this first","unknown","positive"
"856","an acquaintance had friday night dinner with me every week for two months before we talked about my disability

hes now m","unknown","negative"
"857","life with disability is not a limitation","unknown","negative"
"858","disability payments means the disabled can live with dignity amp equality with the non disabled denying them this is","joy","positive"
"859","the latest disability news from bbithanks todisability writing","unknown","positive"
"860","vertical lifts relied on by wheelchair users can be dangerous has this happened to you disabilityvideo","unknown","negative"
"861","ive lived in an area in the ozarks where fewer people worked than who were selling meth or on disability","unknown","positive"
"862","you call that being harassed but you think this is ok shame on you","anger","negative"
"863","it was impossible for trump to mock the disabled reporter the gesture in question wasnt applicable to his disability","unknown","negative"
"864","join us at the harkin summit receptionfor an opportunity to network w intl leaders in disability employment http","unknown","positive"
"865","know your rights as a parent living w a disability download the parents with disabilities toolkit pwdparents http","unknown","positive"
"866","disability equality training taxi and private hire vehicle drivers billnovhouse of commons debates","unknown","neutral"
"867","parent shared his experiences of fostering a child with a disability we gain far more joy experiencesamplove than difficultie","joy","negative"
"868","hodgins and his disability this past season so im glad someone out there is doing it right","joy","positive"
"869","i forgot to include oracle babs shes really important disability rep as well","unknown","positive"
"870","autism definition video and imagesdisability adhd us asd","unknown","positive"
"871","ill second the ask for a list of ya w disabled charactersdisability ownvoices","unknown","negative"
"872","now i silently suffer with an intellectual disability which since brenda was jealous of me sure shes enjoying it all all the brenda ref","anger","negative"
"873","splane lecture in social policy
 sense and debility how disability figures in progressive social policy","unknown","negative"
"874","act as a cohesive community not as fragmented factions
this is the way to really gain traction for disability inclus","unknown","neutral"
"875","in your experience as a carer are disabled toilets truly accessible for everyone who needs to use themcarers","unknown","positive"
"876","proof trump did not mock a reporters disabilitymade same gestur","unknown","neutral"
"877","governments disability confident scheme will be trivially easy for employers to abuse research suggests","unknown","negative"
"878","trump did really well in areas with high disability claims this is not a shock","anger","neutral"
"879","can cancer qualify you for disability benefitsbycancer","unknown","neutral"
"880","did you know judge ruled withholding disability payments unlawf","unknown","positive"
"881","we need to stop being erased or reduced to pity and inspiration porncriplit 
publishing industry","sadness","negative"
"882","damian green faces fresh accusations of misleading mps over disability benefits
dwp damiangreen","unknown","negative"
"883","fed up of changing ts pad on filthy floors or in back of the car we needloos","disgust","negative"
"884","myrandboth got disabilitys so i just like making them happy i know there dad said that it was to early to put it up","joy","positive"
"885","shows like benefits britain hasnt helped the cause while the system has been abused for decades","joy","positive"
"886","there is a plan and a purpose a value to every life no matter what its location age gender or disability sharron angle quote","unknown","positive"
"887","breaking
things hillary supporters say
disability","unknown","positive"
"888","to join our surrey team contact janet onvacancy job charity disability","unknown","neutral"
"889","im talking about my disease disability amp transition here 
neutrois","unknown","negative"
"890","combining giftedness and learning disability in one childgifted learningdisabilities parenti","unknown","positive"
"891","u know if this was trump the musical he would haveproblem w cast using curtain callmock serge kovaleskis disability if he attended","sadness","neutral"
"892","theyll get disability fund mate","sadness","negative"
"893","do you need some support at homeillness disability health","unknown","neutral"
"894","and these are the people who claim disability at agecuz they cant walk up stairs wo having a heart attack","joy","neutral"
"895","these changes are subtle and not considered legally a disability but are having real effects on millions of people","unknown","positive"
"896","letting corporations off the hook of paying proper wages accommodating disability etc","unknown","positive"
"897","strength and leadership look different on different bodiesdisability keynote wocwd blackg","unknown","positive"
"898","providing sameness amp routine after natural disaster or other displacement autism disability diversity","unknown","negative"
"899","me and my mom are living under the poverty line if it werent for welfare and disability we would be living on the streets","unknown","neutral"
"900","sharp healthcare in san diego to payafter allegations of disability discrimination","unknown","negative"
"901","blow job for neighborsim already tired of my neighbor with his disability so i invite him to me andgtgt","disgust","negative"
"902","for your consideration","unknown","positive"
"903","honestly i dont think they even realize that disability is a socialist safetynet welfare program","unknown","positive"
"904","hard brexit will open up bigger disability rights gap than a softer eu exit disability","unknown","neutral"
"905","you voted for grown man who made fun of a persons disability in public","unknown","negative"
"906","know your rights as a parent living w a disability download the parents with disabilities toolkit pwdparents","unknown","positive"
"907","kindly support to the campaignc passrpwdbill in this winter session and sign my petition","joy","positive"
"908","your familys best defense against disability prevention these helpful hints may help you to avoid disability","unknown","positive"
"909","bcelxn bcpoliefforts to hoodwink bcvoters","unknown","negative"
"910","disability thinking all the election blogging","unknown","negative"
"911","as a teacher i find this truly disgusting how dare an educator and caretaker of children strip a child of something bc","disgust","negative"
"912","kick off withdisability team v salveson","joy","negative"
"913","didnt you mock a guys disability on stage in front of thousands of people","fear","negative"
"914","tory rebellion sees government defeated over disability benefits cuts","unknown","positive"
"915","spencer discusses his experiences on the dating scene as a wheelchair user","anger","positive"
"916","speaking to someonemaking fun of a disability","unknown","negative"
"917","ipad match it upusaaustralianstory asd disability adhd au","unknown","positive"
"918","wednesdaywisdom love your fellow man as yourself if we all practiced this teaching disability rights would be accepte","joy","positive"
"919","we really shouldnt have to be campaigning for inclusivity 
but we are 
changingplaces accessibility","unknown","positive"
"920","finding allies in the special needs battleworldtoiletday phantomloos","unknown","positive"
"921","great to seedoing a piece on the need for changingplaces toilets on worldtoiletday","joy","neutral"
"922","taxi driver turns away customers with disability in letterkennywheelchair donegal discriminat","unknown","negative"
"923","still fired up from blogfest amp yay mum campaigners make the bbc news htt","unknown","positive"
"924","terrific resource natl center on disability amp journalism 
clicksave the disability style gui","surprise","positive"
"925","i think abortion is a red herringno matter what your views are there will always be disability and care will be needed x","joy","positive"
"926","burden is a scary word for people with disabilities 
ownvoice disability weneeddiversebooks autisminliterature","fear","negative"
"927","oh like social security and security disability which are predominantly white","joy","positive"
"928","mcdonnell pledges labour will force government to debate un rights violations report in parliament disability","unknown","neutral"
"929","a child with a disability can find it harder to spot the signs of bullyinganti","unknown","negative"
"930","hamilton msg was classy amp diplomatic someone else owes apology for ridiculing person wdisability amp everything els","unknown","positive"
"931","early test for disability rights advocates against trump can we make olmstead an issue in sessions ag confirmation hearing","unknown","positive"
"932","join the growing number of employers accessing a wider pool of talent and skillsdisabilityconfident ht","unknown","positive"
"933","amp its ceo jennifer laszlo mizrahi do not speak for the disability community disabilitysolidarity","unknown","positive"
"934","its worldtoiletdaygreat to be part of the campaign to highlight the need for more changingplaces toilets","unknown","neutral"
"935","celebrating aboriginal disability awareness month","unknown","positive"
"936","please sign petitionforce governmentact on recommendations of uncrpd reportunited nations disability violations","joy","positive"
"937","point was the media lied to people and duped them into believing trump was mocking the persons disability media lies","unknown","negative"
"938","a beautiful little girl with a disability and an amazing voice","surprise","neutral"
"939","free autism rating scale testusaaustraliaasd disability adhd au","unknown","positive"
"940","interesting edcoll cfp hereliteratures of madness disability studies amp mental health deadlinejan","anger","neutral"
"941","living life with a disabilitybytypicalday","unknown","positive"
"942","dont see him putting poc lgbtq women vets and disability first","unknown","positive"
"943","for your inconvenience when does an accessible disabled toilet not mean accessible","unknown","negative"
"944","no he didnt he mocked his intelligence not his disability","unknown","positive"
"945","news festival to raise awareness of disability issues","unknown","positive"
"946","deliberate smear the media colluded with their chosen candidate to promote","unknown","neutral"
"947","three italian restaurants wwii disability forml rare coins gone restoration business detailing too many hot cars","unknown","positive"
"948","good luck to our players who were chosen for the adultpan disability team in their match tomorrow","joy","positive"
"949","benefits of booking travel with me
 

travel cruise disability florida palmbeach","unknown","positive"
"950","if you think that its ok to have genocide because of a disability then that is crazy","unknown","negative"
"951","ineedyouhere because if it wasnt for you i would be insecure about my disability and i wouldnt have two bestfriend i love so much","joy","neutral"
"952","didnt mention how the assaulter has a developmental disability","unknown","positive"
"953","we cant give a mind but we can give a helpbe withnduhura foundation to make a change to the people lives with mental disability inrwanda","unknown","negative"
"954","i read that asselfidentify as having a disability or an ability doesnt make sense","unknown","positive"
"955","i wasnt aware of your disability even if she was like everyone else what you did was still fuc","joy","positive"
"956","having a disability and being in denial","unknown","negative"
"957","support system in ireland for children with downsyndrome 

prolife prochoice pregnancy disability abortion","unknown","positive"
"958","our wonderful future president made fun of a reporter because of his disability in front of a big crowdthis s","surprise","neutral"
"959","parents conversation about autismsweden asd disability adhd se","unknown","positive"
"960","so there is noone there who has a mobile manager what if someone has a disability and cannot speak","unknown","positive"
"961","kindly passrpwdbill in dis winter session petition","fear","positive"
"962","the proof for cw has arrived i am beyond excited eek indieauthor disability","unknown","positive"
"963","and really bad at communicating with people and difficulty wt expressing words and ideas and a learning disability","sadness","negative"
"964","if you see someone living with any disability for that matter maybe the best thing to do would be to give a smile and pu","unknown","positive"
"965","i love yang xiao long so much rwbykilled the episode today so did the writers and the animators handling disability so well","joy","neutral"
"966","wowdid they gesture and ridicule him as though he has a disabilityoh wait that was you","unknown","negative"
"967","temitope okupe a disability advocate with a masters degree in human resource managementtemitope is speaking now paretoc","unknown","positive"
"968","media took advantage of the fact that kovaleski resembled donalds motions for a couple seconds exploited his disability for propaganda","unknown","negative"
"969","bymental amp substance use disorders will surpass all diseases as the major cause of disability worldwide addictio","unknown","positive"
"970","although they arent taking into consideration that the guy who tackled has a disability and he couldnt handle then crowd","unknown","negative"
"971","initial thoughts on the work health and disability green paper","unknown","positive"
"972","still fired up from blogfest amp yay mum campaigners make the bbc news","unknown","positive"
"973","just like a liberal trump used same mannerisms when speaking of others wo disability another debunked lie rednationrising","joy","positive"
"974","support in ireland for children with trisomytrisomy 

prolife prochoice pregnancy abortion disability","unknown","positive"
"975","e my disability was used to gain testimony whether it was real or not that alone is a crime","unknown","neutral"
"976","dont let a needle stop you getting vaccinated if you have a learning disabilityautism ask your gp if you can have the nasal flu vaccine","joy","negative"
"977","indifference to the disabled amp their efforts to hoodwink voters into believing they r doing something","unknown","negative"
"978","disability employment figures fromshow aincrease but the government is stilljobs behind target h","unknown","positive"
"979","got questions about apd dont harrass me w them heres a book u can read apd learningdisability","unknown","negative"
"980","the truth is that the media used kovaleskis disability as a springboard to attack trump youre fighting for the bad guys","sadness","neutral"
"981","national guard is so great why is my son put out says he was too disabled gives no disability pay","joy","negative"
"982","i dont know how anyone can vote without knowing the platform they should worry amp also say bye to","joy","neutral"
"983","compassion provides dignity to those who are vulnerabledisability writing amwriting mustre","unknown","positive"
"984","harassment is when you mocked someone with a disability or pence threatens homosexuals w nazi tac","anger","neutral"
"985","er no privilege is about class gender race disability being trans or cis sexuality","unknown","positive"
"986","can you then apologize to hmm i dont knowwomen hispanic latinos african americans illegal immigrants people w m","unknown","negative"
"987","thankful i have gtbeing a sibling never endsthis particular relationship is so important to a person w a developmental","unknown","positive"
"988","ltc insurance awareness month what will longterm care cost your clientincomeprotection","joy","positive"
"989","a the judge commented on my developmental disabilityb arresting officer said the admit and they will go easy","unknown","positive"
"990","disabled toilets when does accessible not mean accessiblelt a really important campaign from changingplaces","unknown","negative"
"991","so we give millions to one old bag yet we cut health care disability benefits housing benefits etc from hundreds of th","joy","neutral"
"992","our blog is a mustread for anyone who believes in the power of lovedisability writing amwriting","unknown","positive"
"993","petition force the government to act on the eleven recommendations of the uncrpd reportdisabled disability un","unknown","neutral"
"994","compassion provides dignity to those who are vulnerabledisability writing amwriting mustread","unknown","positive"
"995","here is a comprehensive guide to appropriate disability terminology 
kent disability","unknown","positive"
"996","however the disability of the person receiving assistance is often an issue","unknown","positive"
"997","here is a post about how every person needs hopedisability writing amwriting mustread","unknown","positive"
"998","note to self take staceys advice need to stop comparing myself to othersmy disability got me further than others","unknown","neutral"
"999","seeing people mistreat and make fun of others who have any type of disability breaks my heart","joy","negative"
"1000","thankful i have gtbeing a sibling never endsthis particular relationship is so important to a person w a devel","unknown","positive"
"1001","disability before i realized that the elevator to the nd floor does not run on it a little bit over","unknown","negative"
"1002","right im making a list of spoonie disability mentalhealth twitter chats forbut brainfog has hit what do i need","unknown","negative"
"1003","dfeh settleshousing discrimination disability law suit","unknown","neutral"
"1004","einstein and newton showed signs of autismstockholm asd disability adhd se","unknown","positive"
"1005","apologize to my son for mocking a person with a disability amp to the teens in my support group for your homophobic rhetoric","unknown","negative"
"1006","youve publicly mocked someone with a disability and you think the cast of hamilton was rude","sadness","negative"
"1007","and we shouldnt have a racist lgbtphobic xenophobic disabilityhating president amp cabinet but here we are","unknown","negative"
"1008","happening live now disability justice through solidarity with black liberation","joy","positive"
"1009","stucdw people with impairments are disadvantaged by capitalismdisability as concept rose with the industrial revolu","unknown","neutral"
"1010","my trumpkin aunt on disability bitches endlessly abt others on welfare and my in tv be","unknown","positive"
"1011","your wife is a welfare disability seeking freeloader
tellhertogetajob","unknown","positive"
"1012","the voyage disability caring and rights","joy","positive"
"1013","my disability exists not because i use a wheelchair but because the broader environment isnt accessible stella yo","unknown","positive"
"1014","fantastic day raising money forthank you to everyone who came to support parity for disability","surprise","positive"
"1015","know the definition of rudenessmocking a reporter with a disability","unknown","positive"
"1016","well written i actually started a blog series addressing common disability misconceptions would you like to help","joy","positive"
"1017","do some research he did not mock his disability and attacking someone out with their family should be off limits","unknown","negative"
"1018","sir twas a conciseclearmannered inclusion messagetheir vp no grabbing disability jokes nor ogling ofyr old girls","unknown","positive"
"1019","room wanted in house or apartment lexingtonky dogfriendly friendly disability roommate rent craigslist","joy","positive"
"1020","come to the old school house huyton on tuesdaynovember from pm to have your say on disability issues and enjoy f","joy","positive"
"1021","this truth disabilityawareness disability misconceptions pwd","unknown","neutral"
"1022","we are looking for more strategic cases which will progress disability rightssecuringourrights","unknown","positive"
"1023","eeoc sues east coast labor solutions for disability and national origin discriminationeeoc","unknown","negative"
"1024","guess what its been debunked trump didnt mock him","unknown","neutral"
"1025","my wife on long term disability wjpmorgan had her insurance taken away thanks to obamacare","unknown","negative"
"1026","if you cared about disability you might even ask me instead of snide remarks","unknown","neutral"
"1027","help us make a change to disability living allowance for children with heart disease 

why are so many heart","joy","neutral"
"1028","conciseclearmannered message of inclusiontheir vp no grabbing no disability jokes no ogling ofyr old girls","unknown","positive"
"1029","ha disabilitymemes are fun back our film to challenge hollywoods representation of disability today","unknown","negative"
"1030","dear trump 
pussy grabbing is harassment making fun of a disability is harassment this is not try again","anger","negative"
"1031","i dont know how anyone can vote without knowing the platform they should worry amp also say bye to ss ampdisability","joy","neutral"
"1032","lego releases its first disabilityfriendly toy set after pressure from toylikeme campaign","unknown","positive"
"1033","our disability coe had a great day in the regional fixture taking what weve learnt in practice into games and doi","joy","positive"
"1034","lawyers lack awareness compassion amp consideration towards individuals with a disability that have been treated unfairly","unknown","negative"
"1035","open health amp wellbeing awardageing disability","unknown","positive"
"1036","meet the women who are redefining dance with their wheelchairs disability","unknown","positive"
"1037","breaking guy who openly insults mexicans muslims pows amp people w disability demands apology for vague criticism","unknown","negative"
"1038","support for people with downsyndrome in the uk 

prolife prochoice pregnancy abortion disa","unknown","positive"
"1039","we presented lynn mullally amp david hosking of the victoria disability resource centre with a cheque for","unknown","positive"
"1040","support for people with downsyndrome in the uk 

prolife prochoice pregnancy abortion disability","unknown","positive"
"1041","i am tired of seeing ordinary hard working people who may have fallen on hard times suffering illness or disability ce","disgust","negative"
"1042","support for people with spinabifida in the uk 

prolife prochoice pregnancy abortion disability","unknown","positive"
"1043","disability inclusive development advisor at cbm nigeriangocommunityservices","unknown","positive"
"1044","trump never mocked a disabled man he mocked a stupid member of the mediaboycotthamilton","surprise","negative"
"1045","support for people w clubfoot in the uk 

prolife prochoice pregnancy abortion disability","unknown","positive"
"1046","support for people with trisomy and trisomy in the uk 

prolife pregnancy abortion disability","unknown","positive"
"1047","anencephaly support in the uk 

prolife prochoice pregnancy abortion disability childcare parenting","unknown","positive"
"1048","choose to be an ambassador for acceptance autismempowermemt ambassadorforacceptance autism aspergers disability","unknown","positive"
"1049","speaks at the johari foundation dinner in aid of children with special needs disability doesnt choose http","unknown","positive"
"1050","angela constance on why the snp is delaying the transfer of disability benefits from the toriesна","unknown","positive"
"1051","help us campaign for properly funded learningdisability services itdoesntaddup","unknown","positive"
"1052","proving your case my interview watty a castelli includes fibromyalgia invisible illnesses and disability","unknown","positive"
"1053","debunked this video proves donald trump did not mock reporter serge kovaleski for his disability","unknown","neutral"
"1054","ifthinks the hamilton cast was rude mimicking a person with a disability is rude grabbing womens genitals is rude","sadness","negative"
"1055","yeah i didnt fight for my disabled wife or my special needs child at all your only disability is","unknown","negative"
"1056","when i was little i was that kid skinny learning disability awkward i know what it feels like to be bullied","joy","neutral"
"1057","we love s end the awkward campaign to change attitudes towards disability find out more","joy","neutral"
"1058","visit our blog for posts about diversity advocacy dignity respectdisability writing amwr","unknown","positive"
"1059","apologize","unknown","positive"
"1060","you voted for a grown man who made fun of a person for having a disability","unknown","negative"
"1061","exam for becoming a police officerstate trooper will beinfo here

apply here","unknown","positive"
"1062","jerseys disability charity jet wins contract to run recycling centre great news for teamjocelyn butterworth","joy","positive"
"1063","without a ps it wouldnt be of much use to e cause im on disability give it to someone in need","unknown","negative"
"1064","cornwall mp sheryll murray blasted for forcing disability bill to be binned in commons debate
read more atukip","unknown","negative"
"1065","i should know i live it
you are teaching that child amp the children around him that his disability is something to be ashamed of","joy","negative"
"1066","ofthings r true everyonehas a severe learning disability or their parent company just detests left populism to a fault","unknown","negative"
"1067","agree curriculum disability vs learning disabilitythe curriculum must meet ss needs","unknown","positive"
"1068","because many people hate disabled people partly because of what disability representsthem nazis started attacks on di","anger","negative"
"1069","idiotwatch the videoyou are a goddamn fool","unknown","negative"
"1070","autism is quite definitely a disability ampno kind of conditionso watering it down amp lightening it up doesnt do any favours","joy","positive"
"1071","when applying for social security disability benefits make sure youre prepared","unknown","positive"
"1072","bcands interview on aim media","unknown","negative"
"1073","we cant have our cake and eat it too either its a disability or it isnt we cant have one foot in and one foot out for me","unknown","positive"
"1074","despite the development in the area limassols castle square is not a friendly place for people with","anger","neutral"
"1075","read this comment and sign the petition nobody should be forced to live in a nursing home and nobo","joy","positive"
"1076","thank you for putting me on the discrimination list disability discrimination is rampant including on social media disability","unknown","negative"
"1077","paralympianeducates children about disability","unknown","positive"
"1078","he didnt mock his disability get the facts youve bought into another media lie","sadness","negative"
"1079","the latest the just a daddyo dailythanks tospecialneeds disability","unknown","positive"
"1080","speaks at the johari foundation dinner in aid of children with special needs disability doesnt choose","unknown","positive"
"1081","like i like like vitamins tonight lyndon johnson and eleanor roosevelts big difference is like healthcare and security disability benefits","joy","positive"
"1082","read how tony who has a learning disability took social care issues to parliament thanks to his local mp","joy","positive"
"1083","brampton artist wants to share stories of her downsyndrome","unknown","positive"
"1084","you are hilarious rich prick cant take a bit of booing yet calls women pigs and mocks someone with","joy","positive"
"1085","strength and leadership look different on different bodiesdisability keynote wocwd blackgirlmagic","unknown","positive"
"1086","so we give millions to one old bag yet we cut health care disability benefits housing benefits etc from hundreds","joy","neutral"
"1087","popular green refuses three times todisability news accessibility pls rt","unknown","positive"
"1088","disability advocacy most emotional moment at tedxgbagada","unknown","neutral"
"1089","what will people think of me if i go out with someone with a disability asks luke","unknown","neutral"
"1090","casa apap bologna is now offering respite services for persons with disability call us onor","unknown","neutral"
"1091","visit our blog for posts about diversity advocacy dignity respectdisability writing amwriting mustread","unknown","positive"
"1092","awesome wheelchair buggie for all sorts of useswheelchair disability livinglife","unknown","positive"
"1093","you completely mental fuckwityou humiliated a man with a disability in front of millionswheres your apology","unknown","positive"
"1094","has govt forgotten oropcpcdisability pensionstatus upgrade and more for soldiersor are these also jumlasdrowned in demon","unknown","negative"
"1095","many pwd excited about the idea disability allies inclusion dream teamableg","unknown","positive"
"1096","labours right wing mps who oppose corbyn because they want an effective oppositionthen fail to turn up to a deba","disgust","neutral"
"1097","️️️ our production designer amp the magic she creates disability inclusiontheatre hereiam","unknown","positive"
"1098","look whos talking about creepy you appear bereft of reasonable thought or practical debate learning disability a","sadness","neutral"
"1099","adapts open letter to presidentelect trump

presidentelect trump

the disability community is a diverse","unknown","positive"
"1100","sisterinlaw been receiving disability since she was ish bad back big trump supporter hates people o","sadness","positive"
"1101","if you are a father here is a post that will move youdisability love dad writing amwriting mustread","joy","positive"
"1102","ipad match it upusastockholm asd disability adhd se","unknown","positive"
"1103","valid bases for discrimination race religion gender sexual orientation disability

invalid those who voted fo","unknown","negative"
"1104","disability community dont slow testing of selfdriving cars","unknown","negative"
"1105","how does the affordable care act affect disability insurancebyssa","joy","positive"
"1106","great meeting with disability services advocates in somersworth","joy","positive"
"1107","have e you posted yours yet jane getthenationsigning hellomynameis personst before disability inclusiv","unknown","positive"
"1108","wow turns out that increases in ssdi rolls has been completely offset by declines in workers comp rolls","unknown","positive"
"1109","nothing but whites getting disabilitypoc working their asses off at shit jobs whites too good for","joy","positive"
"1110","makes me psychically feel sick when people laugh at someone with a disability","disgust","negative"
"1111","h crimes r acts against ppl cuz of race color nationality religion sex familial disability fighth donate","unknown","positive"
"1112","this is a man hit so hard n head he thought lifetime job give him disabilityamp show door by far the dumbest ive ever seen","unknown","negative"
"1113","proving your case my interview watty a castelli includes fibromyalgia invisibleillnesses and disability","unknown","positive"
"1114","hot off the press jostoriesdisability writing","unknown","positive"
"1115","fancy boosting our case and posting a signing selfie as natty told you too to promote inclusive person","joy","positive"
"1116","thanks an audience member from bringing up the issue of domestic violence disability and mental health","unknown","positive"
"1117","disability access in uk still shocking paralympics great but still access issues even in central london","joy","positive"
"1118","noits ppl living in the real world giving you a dose of reality beyond your bubbletheres a view that disability","unknown","positive"
"1119","check out this item in my etsy shopspecialneeds adultteen bib disability specialneedsparent seniorcare etsy","unknown","positive"
"1120","please explain why you talked out the disability equality training taxi and private hire vehicle drivers bill","joy","neutral"
"1121","guest campaignlearning disability has been invisible for too longits time to see ithereiam htt","unknown","positive"
"1122","not every disability is visible
crps
rsd
chronicpain
copd
fibro
ms
cps
invisibleillness
arthritis
eds","unknown","positive"
"1123","they were respectful you however have bragged about sexual assault insulted women and mocked someone with a disability","unknown","negative"
"1124","being harassed is being mocked for a disability or being touched in sexual way wo consentjust saying","anger","negative"
"1125","chef mike darracott my story disabled disability headinjury injured","unknown","negative"
"1126","we will be going live in minutes for the disability justice through solidarity with black liberation event","joy","positive"
"1127","act as a cohesive community not as fragmented factions
this is the way to really gain traction for disability","unknown","neutral"
"1128","theresa mays brexit wtf  disability mayhemism dwp wca europe cutskill","unknown","positive"
"1129","what are you a weirdo my son is on the asd spectrum you wouldnt notice disability in pic anyway","joy","positive"
"1130","damian green faces fresh accusations of misleading mps over disability benefits disabilitynews","unknown","negative"
"1131","saturday stats wright state is topin the nation for our disability services thatswright","unknown","neutral"
"1132","it takes a special person to mock a persons disability then to be offended by someone using their st amendment right","unknown","neutral"
"1133","mugshotoftheday uk woman jailed yrs for fake injury amp stealing k in disability","unknown","negative"
