Both sexes,An intellectual disability,Leinster,30273,,Region,Total persons(Both Sexes),Blindness or a serious vision impairment(Both Sexes),Deafness or a serious hearing impairment(Both Sexes),A condition that substantially limits one or more basic physical activities(Both Sexes)
Both sexes,Total disabilities,Ulster (part of),110509,,,,,,
Both sexes,Total disabilities,Cavan,24906,,,,,,
Both sexes,Total disabilities,Donegal,64317,,,,,,
Both sexes,Total disabilities,Monaghan,21286,,,,,,
Both sexes,Total disabilities,State,1647046,,,,,,
Male,Total persons,Leinster,1233352,,,,,,
Male,Total persons,Carlow,27431,,,,,,
Male,Total persons,Dublin,619902,,,,,,
Male,Total persons,Dublin City,257303,,,,,,
Male,Total persons,Dun Laoghaire-Rathdown,98567,,,,,,
Male,Total persons,Fingal,134488,,,,,,
Male,Total persons,South Dublin,129544,,,,,,
Male,Total persons,Kildare,104658,,,,,,
Male,Total persons,Kilkenny,47788,,,,,,
Male,Total persons,Laois,40587,,,,,,
Male,Total persons,Longford,19649,,,,,,
Male,Total persons,Louth,60763,,,,,,
Male,Total persons,Meath,91910,,,,,,
Male,Total persons,Offaly,38430,,,,,,
Male,Total persons,Westmeath,42783,,,,,,
Male,Total persons,Wexford,71909,,,,,,
Male,Total persons,Wicklow,67542,,,,,,
Male,Total persons,Munster,620260,,,,,,
Male,Total persons,Clare,58298,,,,,,
Male,Total persons,Cork,257470,,,,,,
Male,Total persons,Cork City,58812,,,,,,
Male,Total persons,Cork County,198658,,,,,,
Male,Total persons,Kerry,72629,,,,,,
Male,Total persons,Limerick,95815,,,,,,
Male,Total persons,Limerick City,27947,,,,,,
Male,Total persons,Limerick County,67868,,,,,,
Male,Total persons,Tipperary,79584,,,,,,
Male,Total persons,Waterford,56464,,,,,,
Male,Total persons,Waterford City,22921,,,,,,
Male,Total persons,Waterford County,33543,,,,,,
Male,Total persons,Connacht,271110,,,,,,
Male,Total persons,Galway,124758,,,,,,
Male,Total persons,Galway City,36514,,,,,,
Male,Total persons,Galway County,88244,,,,,,
Male,Total persons,Leitrim,16144,,,,,,
Male,Total persons,Mayo,65420,,,,,,
Male,Total persons,Roscommon,32353,,,,,,
Male,Total persons,Sligo,32435,,,,,,
Male,Total persons,Ulster (part of),147977,,,,,,
Male,Total persons,Cavan,37013,,,,,,
Male,Total persons,Donegal,80523,,,,,,
Male,Total persons,Monaghan,30441,,,,,,
Male,Total persons,State,2272699,,,,,,
Male,Total persons with a disability,Leinster,153303,,,,,,
Male,Total persons with a disability,Carlow,3830,,,,,,
Male,Total persons with a disability,Dublin,76688,,,,,,
Male,Total persons with a disability,Dublin City,36651,,,,,,
Male,Total persons with a disability,Dun Laoghaire-Rathdown,11309,,,,,,
Male,Total persons with a disability,Fingal,13182,,,,,,
Male,Total persons with a disability,South Dublin,15546,,,,,,
Male,Total persons with a disability,Kildare,12106,,,,,,
Male,Total persons with a disability,Kilkenny,5974,,,,,,
Male,Total persons with a disability,Laois,5152,,,,,,
Male,Total persons with a disability,Longford,2616,,,,,,
Male,Total persons with a disability,Louth,7829,,,,,,
Male,Total persons with a disability,Meath,9779,,,,,,
Male,Total persons with a disability,Offaly,5033,,,,,,
Male,Total persons with a disability,Westmeath,5559,,,,,,
Male,Total persons with a disability,Wexford,10096,,,,,,
Male,Total persons with a disability,Wicklow,8641,,,,,,
Male,Total persons with a disability,Munster,82450,,,,,,
Male,Total persons with a disability,Clare,7264,,,,,,
Male,Total persons with a disability,Cork,33393,,,,,,
Male,Total persons with a disability,Cork City,10142,,,,,,
Male,Total persons with a disability,Cork County,23251,,,,,,
Male,Total persons with a disability,Kerry,9410,,,,,,
Male,Total persons with a disability,Limerick,13451,,,,,,
Male,Total persons with a disability,Limerick City,4974,,,,,,
Male,Total persons with a disability,Limerick County,8477,,,,,,
Male,Total persons with a disability,Tipperary,11319,,,,,,
Male,Total persons with a disability,Waterford,7613,,,,,,
Male,Total persons with a disability,Waterford City,3381,,,,,,
Male,Total persons with a disability,Waterford County,4232,,,,,,
Male,Total persons with a disability,Connacht,34668,,,,,,
Male,Total persons with a disability,Galway,14943,,,,,,
Male,Total persons with a disability,Galway City,4336,,,,,,
Male,Total persons with a disability,Galway County,10607,,,,,,
Male,Total persons with a disability,Leitrim,2233,,,,,,
Male,Total persons with a disability,Mayo,8688,,,,,,
Male,Total persons with a disability,Roscommon,4362,,,,,,
Male,Total persons with a disability,Sligo,4442,,,,,,
Male,Total persons with a disability,Ulster (part of),19307,,,,,,
Male,Total persons with a disability,Cavan,4480,,,,,,
Male,Total persons with a disability,Donegal,11347,,,,,,
Male,Total persons with a disability,Monaghan,3480,,,,,,
Male,Total persons with a disability,State,289728,,,,,,
Male,Blindness or a serious vision impairment,Leinster,13138,,,,,,
Male,Blindness or a serious vision impairment,Carlow,330,,,,,,
Male,Blindness or a serious vision impairment,Dublin,6747,,,,,,
Male,Blindness or a serious vision impairment,Dublin City,3572,,,,,,
Male,Blindness or a serious vision impairment,Dun Laoghaire-Rathdown,886,,,,,,
Male,Blindness or a serious vision impairment,Fingal,1053,,,,,,
Male,Blindness or a serious vision impairment,South Dublin,1236,,,,,,
Male,Blindness or a serious vision impairment,Kildare,899,,,,,,
Male,Blindness or a serious vision impairment,Kilkenny,482,,,,,,
Male,Blindness or a serious vision impairment,Laois,413,,,,,,
Male,Blindness or a serious vision impairment,Longford,236,,,,,,
Male,Blindness or a serious vision impairment,Louth,795,,,,,,
Male,Blindness or a serious vision impairment,Meath,798,,,,,,
Male,Blindness or a serious vision impairment,Offaly,423,,,,,,
Male,Blindness or a serious vision impairment,Westmeath,510,,,,,,
Male,Blindness or a serious vision impairment,Wexford,837,,,,,,
Male,Blindness or a serious vision impairment,Wicklow,668,,,,,,
Male,Blindness or a serious vision impairment,Munster,7033,,,,,,
Male,Blindness or a serious vision impairment,Clare,639,,,,,,
Male,Blindness or a serious vision impairment,Cork,2775,,,,,,
Male,Blindness or a serious vision impairment,Cork City,934,,,,,,
Male,Blindness or a serious vision impairment,Cork County,1841,,,,,,
Male,Blindness or a serious vision impairment,Kerry,789,,,,,,
Male,Blindness or a serious vision impairment,Limerick,1216,,,,,,
Male,Blindness or a serious vision impairment,Limerick City,489,,,,,,
Male,Blindness or a serious vision impairment,Limerick County,727,,,,,,
Male,Blindness or a serious vision impairment,Tipperary,990,,,,,,
Male,Blindness or a serious vision impairment,Waterford,624,,,,,,
Male,Blindness or a serious vision impairment,Waterford City,287,,,,,,
Male,Blindness or a serious vision impairment,Waterford County,337,,,,,,
Male,Blindness or a serious vision impairment,Connacht,3010,,,,,,
Male,Blindness or a serious vision impairment,Galway,1246,,,,,,
Male,Blindness or a serious vision impairment,Galway City,362,,,,,,
Male,Blindness or a serious vision impairment,Galway County,884,,,,,,
Male,Blindness or a serious vision impairment,Leitrim,175,,,,,,
Male,Blindness or a serious vision impairment,Mayo,812,,,,,,
Male,Blindness or a serious vision impairment,Roscommon,363,,,,,,
Male,Blindness or a serious vision impairment,Sligo,414,,,,,,
Male,Blindness or a serious vision impairment,Ulster (part of),1604,,,,,,
Male,Blindness or a serious vision impairment,Cavan,370,,,,,,
Male,Blindness or a serious vision impairment,Donegal,932,,,,,,
Male,Blindness or a serious vision impairment,Monaghan,302,,,,,,
Male,Blindness or a serious vision impairment,State,24785,,,,,,
Male,Deafness or a serious hearing impairment,Leinster,24862,,,,,,
Male,Deafness or a serious hearing impairment,Carlow,603,,,,,,
Male,Deafness or a serious hearing impairment,Dublin,12167,,,,,,
Male,Deafness or a serious hearing impairment,Dublin City,5941,,,,,,
Male,Deafness or a serious hearing impairment,Dun Laoghaire-Rathdown,2031,,,,,,
Male,Deafness or a serious hearing impairment,Fingal,1888,,,,,,
Male,Deafness or a serious hearing impairment,South Dublin,2307,,,,,,
Male,Deafness or a serious hearing impairment,Kildare,1981,,,,,,
Male,Deafness or a serious hearing impairment,Kilkenny,1059,,,,,,
Male,Deafness or a serious hearing impairment,Laois,804,,,,,,
Male,Deafness or a serious hearing impairment,Longford,457,,,,,,
Male,Deafness or a serious hearing impairment,Louth,1256,,,,,,
Male,Deafness or a serious hearing impairment,Meath,1589,,,,,,
Male,Deafness or a serious hearing impairment,Offaly,855,,,,,,
Male,Deafness or a serious hearing impairment,Westmeath,976,,,,,,
Male,Deafness or a serious hearing impairment,Wexford,1741,,,,,,
Male,Deafness or a serious hearing impairment,Wicklow,1374,,,,,,
Male,Deafness or a serious hearing impairment,Munster,13849,,,,,,
Male,Deafness or a serious hearing impairment,Clare,1223,,,,,,
Male,Deafness or a serious hearing impairment,Cork,5651,,,,,,
Male,Deafness or a serious hearing impairment,Cork City,1690,,,,,,
Male,Deafness or a serious hearing impairment,Cork County,3961,,,,,,
Male,Deafness or a serious hearing impairment,Kerry,1609,,,,,,
Male,Deafness or a serious hearing impairment,Limerick,2044,,,,,,
Male,Deafness or a serious hearing impairment,Limerick City,770,,,,,,
Male,Deafness or a serious hearing impairment,Limerick County,1274,,,,,,
Male,Deafness or a serious hearing impairment,Tipperary,1994,,,,,,
Male,Deafness or a serious hearing impairment,Waterford,1328,,,,,,
Male,Deafness or a serious hearing impairment,Waterford City,550,,,,,,
Male,Deafness or a serious hearing impairment,Waterford County,778,,,,,,
Male,Deafness or a serious hearing impairment,Connacht,5910,,,,,,
Male,Deafness or a serious hearing impairment,Galway,2436,,,,,,
Male,Deafness or a serious hearing impairment,Galway City,621,,,,,,
Male,Deafness or a serious hearing impairment,Galway County,1815,,,,,,
Male,Deafness or a serious hearing impairment,Leitrim,402,,,,,,
Male,Deafness or a serious hearing impairment,Mayo,1560,,,,,,
Male,Deafness or a serious hearing impairment,Roscommon,796,,,,,,
Male,Deafness or a serious hearing impairment,Sligo,716,,,,,,
Male,Deafness or a serious hearing impairment,Ulster (part of),3398,,,,,,
Male,Deafness or a serious hearing impairment,Cavan,741,,,,,,
Male,Deafness or a serious hearing impairment,Donegal,2125,,,,,,
Male,Deafness or a serious hearing impairment,Monaghan,532,,,,,,
Male,Deafness or a serious hearing impairment,State,48019,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Leinster,52619,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Carlow,1366,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Dublin,25793,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Dublin City,13364,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Dun Laoghaire-Rathdown,3516,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Fingal,3860,,,,,,
Male,A condition that substantially limits one or more basic physical activities,South Dublin,5053,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Kildare,3876,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Kilkenny,2165,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Laois,1799,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Longford,1017,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Louth,3064,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Meath,3184,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Offaly,1872,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Westmeath,2020,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Wexford,3699,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Wicklow,2764,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Munster,30586,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Clare,2650,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Cork,12171,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Cork City,3985,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Cork County,8186,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Kerry,3501,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Limerick,5055,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Limerick City,1947,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Limerick County,3108,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Tipperary,4398,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Waterford,2811,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Waterford City,1255,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Waterford County,1556,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Connacht,13353,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Galway,5424,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Galway City,1387,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Galway County,4037,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Leitrim,885,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Mayo,3617,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Roscommon,1773,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Sligo,1654,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Ulster (part of),7519,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Cavan,1729,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Donegal,4466,,,,,,
Male,A condition that substantially limits one or more basic physical activities,Monaghan,1324,,,,,,
Male,A condition that substantially limits one or more basic physical activities,State,104077,,,,,,
Male,An intellectual disability,Leinster,17884,,,,,,
Male,An intellectual disability,Carlow,435,,,,,,
Male,An intellectual disability,Dublin,8342,,,,,,
Male,An intellectual disability,Dublin City,3589,,,,,,
Male,An intellectual disability,Dun Laoghaire-Rathdown,1114,,,,,,
Male,An intellectual disability,Fingal,1660,,,,,,
Male,An intellectual disability,South Dublin,1979,,,,,,
Male,An intellectual disability,Kildare,1576,,,,,,
Male,An intellectual disability,Kilkenny,806,,,,,,
Male,An intellectual disability,Laois,650,,,,,,
Male,An intellectual disability,Longford,312,,,,,,
Male,An intellectual disability,Louth,1082,,,,,,
Male,An intellectual disability,Meath,1155,,,,,,
Male,An intellectual disability,Offaly,586,,,,,,
Male,An intellectual disability,Westmeath,738,,,,,,
Male,An intellectual disability,Wexford,1155,,,,,,
Male,An intellectual disability,Wicklow,1047,,,,,,
Male,An intellectual disability,Munster,9981,,,,,,
Male,An intellectual disability,Clare,894,,,,,,
Male,An intellectual disability,Cork,4151,,,,,,
Male,An intellectual disability,Cork City,1199,,,,,,
Male,An intellectual disability,Cork County,2952,,,,,,
Male,An intellectual disability,Kerry,1188,,,,,,
Male,An intellectual disability,Limerick,1689,,,,,,
Male,An intellectual disability,Limerick City,560,,,,,,
Male,An intellectual disability,Limerick County,1129,,,,,,
Male,An intellectual disability,Tipperary,1274,,,,,,
Male,An intellectual disability,Waterford,785,,,,,,
Male,An intellectual disability,Waterford City,359,,,,,,
Male,An intellectual disability,Waterford County,426,,,,,,
Male,An intellectual disability,Connacht,4175,,,,,,
Male,An intellectual disability,Galway,1878,,,,,,
Male,An intellectual disability,Galway City,503,,,,,,
Male,An intellectual disability,Galway County,1375,,,,,,
Male,An intellectual disability,Leitrim,196,,,,,,
Male,An intellectual disability,Mayo,1063,,,,,,
Male,An intellectual disability,Roscommon,474,,,,,,
Male,An intellectual disability,Sligo,564,,,,,,
Male,An intellectual disability,Ulster (part of),2173,,,,,,
Male,An intellectual disability,Cavan,490,,,,,,
Male,An intellectual disability,Donegal,1234,,,,,,
Male,An intellectual disability,Monaghan,449,,,,,,
Male,An intellectual disability,State,34213,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Leinster,39896,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Carlow,980,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Dublin,19538,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Dublin City,8768,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Dun Laoghaire-Rathdown,2944,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Fingal,3607,,,,,,
Male,"Difficulty in learning, remembering or concentrating",South Dublin,4219,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Kildare,3400,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Kilkenny,1557,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Laois,1349,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Longford,669,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Louth,2046,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Meath,2578,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Offaly,1297,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Westmeath,1462,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Wexford,2669,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Wicklow,2351,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Munster,20833,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Clare,1887,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Cork,8542,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Cork City,2443,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Cork County,6099,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Kerry,2376,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Limerick,3429,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Limerick City,1233,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Limerick County,2196,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Tipperary,2880,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Waterford,1719,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Waterford City,752,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Waterford County,967,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Connacht,8714,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Galway,3866,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Galway City,1152,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Galway County,2714,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Leitrim,491,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Mayo,2153,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Roscommon,1014,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Sligo,1190,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Ulster (part of),4876,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Cavan,1113,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Donegal,2818,,,,,,
Male,"Difficulty in learning, remembering or concentrating",Monaghan,945,,,,,,
Male,"Difficulty in learning, remembering or concentrating",State,74319,,,,,,
Male,Psychological or emotional condition,Leinster,24265,,,,,,
Male,Psychological or emotional condition,Carlow,581,,,,,,
Male,Psychological or emotional condition,Dublin,12819,,,,,,
Male,Psychological or emotional condition,Dublin City,6416,,,,,,
Male,Psychological or emotional condition,Dun Laoghaire-Rathdown,1782,,,,,,
Male,Psychological or emotional condition,Fingal,2103,,,,,,
Male,Psychological or emotional condition,South Dublin,2518,,,,,,
Male,Psychological or emotional condition,Kildare,1854,,,,,,
Male,Psychological or emotional condition,Kilkenny,899,,,,,,
Male,Psychological or emotional condition,Laois,795,,,,,,
Male,Psychological or emotional condition,Longford,360,,,,,,
Male,Psychological or emotional condition,Louth,1240,,,,,,
Male,Psychological or emotional condition,Meath,1426,,,,,,
Male,Psychological or emotional condition,Offaly,677,,,,,,
Male,Psychological or emotional condition,Westmeath,907,,,,,,
Male,Psychological or emotional condition,Wexford,1338,,,,,,
Male,Psychological or emotional condition,Wicklow,1369,,,,,,
Male,Psychological or emotional condition,Munster,12845,,,,,,
Male,Psychological or emotional condition,Clare,1047,,,,,,
Male,Psychological or emotional condition,Cork,5280,,,,,,
Male,Psychological or emotional condition,Cork City,1844,,,,,,
Male,Psychological or emotional condition,Cork County,3436,,,,,,
Male,Psychological or emotional condition,Kerry,1475,,,,,,
Male,Psychological or emotional condition,Limerick,2193,,,,,,
Male,Psychological or emotional condition,Limerick City,922,,,,,,
Male,Psychological or emotional condition,Limerick County,1271,,,,,,
Male,Psychological or emotional condition,Tipperary,1697,,,,,,
Male,Psychological or emotional condition,Waterford,1153,,,,,,
Male,Psychological or emotional condition,Waterford City,598,,,,,,
Male,Psychological or emotional condition,Waterford County,555,,,,,,
Male,Psychological or emotional condition,Connacht,5422,,,,,,
Male,Psychological or emotional condition,Galway,2443,,,,,,
Male,Psychological or emotional condition,Galway City,870,,,,,,
Male,Psychological or emotional condition,Galway County,1573,,,,,,
Male,Psychological or emotional condition,Leitrim,313,,,,,,
Male,Psychological or emotional condition,Mayo,1249,,,,,,
Male,Psychological or emotional condition,Roscommon,654,,,,,,
Male,Psychological or emotional condition,Sligo,763,,,,,,
Male,Psychological or emotional condition,Ulster (part of),2584,,,,,,
Male,Psychological or emotional condition,Cavan,594,,,,,,
Male,Psychological or emotional condition,Donegal,1491,,,,,,
Male,Psychological or emotional condition,Monaghan,499,,,,,,
Male,Psychological or emotional condition,State,45116,,,,,,
Male,"Other disability, including chronic illness",Leinster,67620,,,,,,
Male,"Other disability, including chronic illness",Carlow,1669,,,,,,
Male,"Other disability, including chronic illness",Dublin,33904,,,,,,
Male,"Other disability, including chronic illness",Dublin City,16544,,,,,,
Male,"Other disability, including chronic illness",Dun Laoghaire-Rathdown,4793,,,,,,
Male,"Other disability, including chronic illness",Fingal,5705,,,,,,
Male,"Other disability, including chronic illness",South Dublin,6862,,,,,,
Male,"Other disability, including chronic illness",Kildare,5366,,,,,,
Male,"Other disability, including chronic illness",Kilkenny,2599,,,,,,
Male,"Other disability, including chronic illness",Laois,2276,,,,,,
Male,"Other disability, including chronic illness",Longford,1179,,,,,,
Male,"Other disability, including chronic illness",Louth,3383,,,,,,
Male,"Other disability, including chronic illness",Meath,4234,,,,,,
Male,"Other disability, including chronic illness",Offaly,2208,,,,,,
Male,"Other disability, including chronic illness",Westmeath,2482,,,,,,
Male,"Other disability, including chronic illness",Wexford,4505,,,,,,
Male,"Other disability, including chronic illness",Wicklow,3815,,,,,,
Male,"Other disability, including chronic illness",Munster,35328,,,,,,
Male,"Other disability, including chronic illness",Clare,3070,,,,,,
Male,"Other disability, including chronic illness",Cork,14178,,,,,,
Male,"Other disability, including chronic illness",Cork City,4492,,,,,,
Male,"Other disability, including chronic illness",Cork County,9686,,,,,,
Male,"Other disability, including chronic illness",Kerry,3870,,,,,,
Male,"Other disability, including chronic illness",Limerick,5869,,,,,,
Male,"Other disability, including chronic illness",Limerick City,2264,,,,,,
Male,"Other disability, including chronic illness",Limerick County,3605,,,,,,
Male,"Other disability, including chronic illness",Tipperary,5071,,,,,,
Male,"Other disability, including chronic illness",Waterford,3270,,,,,,
Male,"Other disability, including chronic illness",Waterford City,1481,,,,,,
Male,"Other disability, including chronic illness",Waterford County,1789,,,,,,
Male,"Other disability, including chronic illness",Connacht,14780,,,,,,
Male,"Other disability, including chronic illness",Galway,6241,,,,,,
Male,"Other disability, including chronic illness",Galway City,1786,,,,,,
Male,"Other disability, including chronic illness",Galway County,4455,,,,,,
Male,"Other disability, including chronic illness",Leitrim,970,,,,,,
Male,"Other disability, including chronic illness",Mayo,3714,,,,,,
Male,"Other disability, including chronic illness",Roscommon,1953,,,,,,
Male,"Other disability, including chronic illness",Sligo,1902,,,,,,
Male,"Other disability, including chronic illness",Ulster (part of),8371,,,,,,
Male,"Other disability, including chronic illness",Cavan,1931,,,,,,
Male,"Other disability, including chronic illness",Donegal,4960,,,,,,
Male,"Other disability, including chronic illness",Monaghan,1480,,,,,,
Male,"Other disability, including chronic illness",State,126099,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Leinster,25946,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Carlow,616,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Dublin,12453,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Dublin City,6105,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Dun Laoghaire-Rathdown,1696,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Fingal,2101,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",South Dublin,2551,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Kildare,2018,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Kilkenny,1135,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Laois,914,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Longford,497,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Louth,1585,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Meath,1633,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Offaly,927,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Westmeath,1044,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Wexford,1718,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Wicklow,1406,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Munster,15359,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Clare,1316,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Cork,6193,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Cork City,1803,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Cork County,4390,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Kerry,1860,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Limerick,2535,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Limerick City,868,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Limerick County,1667,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Tipperary,2138,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Waterford,1317,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Waterford City,618,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Waterford County,699,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Connacht,7204,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Galway,3052,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Galway City,712,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Galway County,2340,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Leitrim,425,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Mayo,1882,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Roscommon,917,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Sligo,928,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Ulster (part of),3832,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Cavan,906,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Donegal,2195,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",Monaghan,731,,,,,,
Male,"Difficulty in dressing, bathing or getting around inside the home",State,52341,,,,,,
Male,Difficulty in going outside home alone,Leinster,32968,,,,,,
Male,Difficulty in going outside home alone,Carlow,800,,,,,,
Male,Difficulty in going outside home alone,Dublin,16159,,,,,,
Male,Difficulty in going outside home alone,Dublin City,8032,,,,,,
Male,Difficulty in going outside home alone,Dun Laoghaire-Rathdown,2231,,,,,,
Male,Difficulty in going outside home alone,Fingal,2639,,,,,,
Male,Difficulty in going outside home alone,South Dublin,3257,,,,,,
Male,Difficulty in going outside home alone,Kildare,2462,,,,,,
Male,Difficulty in going outside home alone,Kilkenny,1433,,,,,,
Male,Difficulty in going outside home alone,Laois,1130,,,,,,
Male,Difficulty in going outside home alone,Longford,636,,,,,,
Male,Difficulty in going outside home alone,Louth,1933,,,,,,
Male,Difficulty in going outside home alone,Meath,2013,,,,,,
Male,Difficulty in going outside home alone,Offaly,1158,,,,,,
Male,Difficulty in going outside home alone,Westmeath,1349,,,,,,
Male,Difficulty in going outside home alone,Wexford,2141,,,,,,
Male,Difficulty in going outside home alone,Wicklow,1754,,,,,,
